Código,País,Continentes,Población,Mortalidad de Vida,Esperanza de Vida
PLW,Palau,Oceania,21503,14.84,73.1
PNG,Papua New Guinea,Oceania,8084991,51.45,67.2
WSM,Samoa,Oceania,195125,27.71,73.7
SLB,Solomon Islands,Oceania,599419,21.29,75.3
TON,Tonga,Oceania,107122,12.62,76.2
TUV,Tuvalu,Oceania,11097,20.03,66.5
VUT,Vanuatu,Oceania,270402,55.16,73.4
ARG,Argentina,America,43847430,15.18,77.1
ABW,Aruba,America,104822,5.89,76.8
BOL,Bolivia,America,10887882,53.11,69.2
BRA,Brazil,America,207652865,29.61,73.8
CHL,Chile,America,17909754,8.8,78.8
COL,Colombia,America,48653419,20.97,75.7
ECU,Ecuador,America,16385068,23.66,76.8
GUY,Guyana,America,773303,33.26,68.4
PRY,Paraguay,America,6725308,25.63,77.2
PER,Peru,America,31773839,31.94,73.7
SUR,Suriname,America,558368,23.57,72.2
URY,Uruguay,America,3444006,11.95,77.2
VEN,Venezuela,America,31568179,22.2,75.8
